#{"t_start": 1754078716.2261415, "env_id": "None"}
r,l,t
21.647602,251,3.524152
52.365857,251,5.296076
33.139927,251,7.195146
11.08703,251,8.971234
9.299582,251,10.557652
49.805424,251,12.223702
16.721814,251,13.748066
30.294353,251,15.294532
11.96152,251,44.923719
13.478747,251,46.373395
35.592341,251,47.807853
54.519124,251,49.558662
9.319146,251,51.160531
37.363034,251,52.698583
10.352513,251,54.33374
24.585795,251,55.786491
69.482978,251,85.857634
34.472833,251,87.398964
-16.250566,251,88.99354
38.8312,56,89.32989
103.587941,210,90.733475
56.932421,113,91.69402
36.414152,56,92.110168
6.371886,251,93.730275
19.526187,251,95.426486
10.863934,78,96.00972
1.230822,251,97.533695
74.79735,251,127.667446
45.893994,90,128.326785
15.227701,51,128.626319
19.958893,123,129.439232
33.336399,251,131.015146
64.21383,251,132.566932
1.397215,115,133.333479
26.328675,68,133.759244
44.553177,251,135.461362
14.186153,52,135.765639
25.265848,251,137.295559
32.704197,57,137.757828
-9.635719,251,139.441742
6.658705,251,169.451425
30.072019,251,171.09947
-46.833239,204,172.443351
-6.779818,159,173.419131
12.99159,45,173.783583
45.439117,251,175.461389
9.363949,251,177.098809
26.28364,251,178.881191
44.558042,81,179.488389
27.961121,251,181.278621
27.376221,46,181.645715
42.988684,251,211.643252
10.059775,251,213.29549
51.581563,33,213.487988
35.190473,251,214.984931
13.643658,46,215.351525
54.952376,251,216.963144
30.345472,251,218.685231
42.460079,82,219.297141
28.807216,38,219.525916
53.988997,251,221.083151
-4.78321,251,222.771344
31.647841,192,224.128761
43.251273,251,254.418844
16.857179,251,256.101213
26.995137,42,256.351356
37.012207,48,256.617005
16.419744,65,257.081029
-0.261016,208,258.432424
17.275163,59,258.865403
33.46161,251,260.564945
61.588236,132,261.356811
56.125106,251,263.060964
26.627984,251,264.81229
57.981272,251,295.493371
61.714598,251,297.018533
41.827637,58,297.343758
4.454586,251,299.004901
34.639828,251,300.741022
8.501688,220,302.111229
25.488,73,302.698952
24.004153,251,304.263402
65.264299,251,305.831307
23.212052,251,307.689964
45.359349,251,337.82975
26.019396,89,338.350919
22.699553,77,338.913569
68.869622,251,340.610959
78.68112,251,342.375567
84.998048,251,344.154467
69.931871,251,346.038355
93.458972,251,347.762589
139.284157,251,349.596306
103.159333,251,351.184257
59.421113,251,381.481077
52.63265,105,382.262997
37.622619,251,383.798009
39.514991,65,384.390789
57.131306,251,385.957087
27.866668,251,387.715
52.104472,251,389.345467
19.873296,251,390.903611
40.825679,53,391.435159
94.305557,246,392.984825
42.440506,251,423.545896
63.815935,251,425.060529
37.502385,189,426.236729
40.302813,251,427.988847
43.860736,64,428.505666
90.49089,251,430.084741
6.194522,62,430.434743
48.868134,251,432.112616
21.721226,129,432.908748
103.004982,251,436.128038
77.493651,251,466.894857
39.846263,82,467.322828
62.588907,251,468.830584
42.752986,62,469.320761
67.869237,251,470.876606
95.784401,251,472.517514
39.541823,67,472.990412
87.84938,251,474.677798
40.335228,47,474.996464
27.60438,90,475.587691
24.392077,251,477.35892
104.930715,251,478.934463
59.200801,251,510.004655
39.437979,251,511.516541
50.902342,251,513.033188
32.7483,42,513.390678
31.930151,58,513.72903
58.485146,251,515.37437
122.094605,251,517.050669
50.385412,251,518.874797
66.059822,64,519.588461
56.804965,251,521.689034
90.341153,251,523.244369
83.560461,251,553.725485
54.292371,62,554.228425
39.901301,251,555.778332
77.736238,91,556.262197
32.281608,251,558.096127
92.554389,251,559.678547
173.197381,251,561.360182
98.731149,251,563.050155
33.468206,251,564.675427
95.487972,251,595.496901
81.504993,251,597.022999
64.799271,251,598.663961
28.204289,251,600.313701
41.242146,251,601.850428
91.112625,251,603.563998
117.1161,251,605.170566
47.815119,251,607.008122
90.228093,251,637.660067
107.049241,251,639.320279
102.074339,251,640.905618
82.341185,251,642.428688
51.590869,251,644.273904
80.460186,251,645.827257
77.487358,251,647.362741
131.730668,251,649.139162
76.450407,251,650.643395
86.58734,251,681.028641
53.776675,251,682.64666
73.862618,251,684.143845
74.697042,251,685.819844
49.178236,251,687.497808
88.075136,62,687.871961
36.877013,251,689.482322
108.987307,251,691.213807
132.506702,251,722.015378
70.548469,251,723.670257
114.274962,251,725.225598
94.197626,251,727.023755
60.797308,251,728.655204
115.163998,251,730.258033
108.281994,251,732.043715
108.987343,251,733.68127
120.971119,251,735.321832
102.899036,251,765.810731
102.246564,251,767.341912
75.819317,251,769.150259
96.983877,251,770.739707
179.961672,251,772.309742
132.219843,251,774.069854
127.411013,251,775.62958
83.456489,251,777.307844
73.286759,251,807.913263
47.109875,251,809.635392
90.471555,251,811.333607
128.796417,251,813.017484
90.388022,251,814.723702
66.204967,251,816.297355
5.13545,47,816.565493
132.507816,251,818.332911
141.441024,251,819.91967
111.617139,251,851.113442
79.480485,251,852.757274
4.124054,62,853.151732
79.509985,251,854.721701
125.660231,251,856.492017
106.291136,251,858.045701
109.466087,251,859.615732
96.907678,251,861.453735
65.17738,251,863.02346
133.502437,251,893.558188
110.541921,251,895.059329
73.913201,251,896.615044
117.403693,251,898.465475
93.727257,251,900.061569
99.046158,251,901.607074
75.913935,251,903.383675
101.944427,251,904.943301
110.763344,251,935.227303
65.502506,251,936.913342
108.546804,251,938.452598
86.044475,251,940.267146
93.103779,251,941.94715
124.536376,251,943.554183
142.160355,251,945.389466
120.184682,251,946.969434
134.041761,251,978.085007
126.642503,251,979.636728
98.3832,251,981.434896
93.572496,251,983.029146
84.155669,251,984.629277
103.071989,251,986.3411
158.605462,251,988.015966
103.546904,251,989.629541
87.100214,251,1020.226357
131.345364,251,1021.785312
95.062682,156,1022.752933
72.242646,251,1024.500826
122.29475,251,1028.662305
82.296908,251,1030.375274
72.400068,251,1031.986452
97.039087,251,1033.531349
69.864542,251,1035.318925
141.529799,251,1065.936117
48.587873,59,1066.418785
103.961761,251,1068.064384
112.397836,251,1069.906954
64.022103,251,1071.502992
103.164902,251,1073.038749
129.493836,251,1074.873047
83.343682,251,1076.394675
108.102417,251,1077.968032
112.104887,251,1110.037943
90.598558,251,1111.566685
106.095442,251,1113.357111
85.221916,251,1114.974928
86.413652,251,1116.613152
165.850925,251,1118.252315
83.550218,251,1119.916867
92.910038,251,1121.664578
79.552881,251,1152.208517
77.844298,251,1153.84896
132.368406,251,1155.428663
80.877033,251,1157.138518
101.670412,251,1158.852649
120.580949,251,1160.422587
104.425219,251,1162.207516
56.234555,55,1162.538781
99.626744,71,1162.931853
93.721943,251,1193.390775
100.040378,251,1194.964033
84.810745,251,1196.4826
90.468676,251,1198.148428
99.622366,251,1199.814845
68.568768,251,1201.326886
121.499542,251,1202.991459
105.829393,251,1204.708701
138.347257,251,1206.308592
100.575241,251,1236.892441
129.53386,251,1238.432957
57.975396,50,1238.831894
108.320196,251,1240.523086
127.784435,251,1242.100361
133.597047,251,1243.734514
123.398402,251,1245.323861
86.560513,251,1247.13494
97.813141,251,1248.76649
76.781451,251,1279.512496
74.606189,251,1281.08865
95.942144,251,1282.641815
178.060623,251,1284.428278
98.324328,251,1285.990541
139.371898,251,1287.558208
101.412471,251,1289.401814
117.261518,251,1290.954318
103.555905,251,1321.704491
34.845426,44,1321.930983
133.395624,251,1323.45853
